Date,Close,Open,High,Low,Volume,Change %
03/27/2025,232.73,233.44,233.99,230.4,2.61M,-0.01%
03/26/2025,232.75,233.01,235,228.25,8.94M,3.82%
03/25/2025,224.19,218.26,225,215.2,6.13M,2.76%
03/24/2025,218.17,228,228,216.3,3.95M,-4.04%
03/21/2025,227.35,226.8,229.15,226.5,3.22M,0.24%
03/20/2025,226.81,226.1,229.74,225.6,4.92M,0.59%
03/19/2025,225.48,223.5,226.98,221.5,4.16M,1.08%
03/18/2025,223.06,223.45,226.49,221.98,5.50M,0.76%
03/17/2025,221.38,218,223.4,218,4.23M,1.28%
03/14/2025,218.59,218.9,219.9,217.9,1.59M,0.14%
03/13/2025,218.28,217.24,219.8,216.75,3.10M,0.48%
03/12/2025,217.24,219.94,221.8,216.1,4.56M,-0.72%
03/11/2025,218.82,214.5,220,210.8,8.14M,1.89%
03/10/2025,214.77,216.75,219.9,213.01,6.10M,-4.05%
03/07/2025,223.84,223.57,228,222.75,8.87M,0.57%
03/06/2025,222.58,212.9,224,211.62,18.05M,4.54%
03/05/2025,212.91,213.49,214.75,212.55,2.30M,-0.19%
03/04/2025,213.32,211.5,213.5,211.5,1.63M,0.74%
03/03/2025,211.76,212.65,214,211.22,1.57M,-0.39%
02/28/2025,212.59,213,214.75,211.55,5.00M,0.23%
02/27/2025,212.11,208.2,214.15,208.2,4.50M,1.55%
02/26/2025,208.88,212.9,214,208.11,2.76M,-2.09%
02/25/2025,213.33,211.67,218,211.67,8.38M,1.41%
02/24/2025,210.37,202.51,211.75,201,6.34M,3.76%
02/21/2025,202.75,205.1,205.51,202,825.16K,-1.01%
02/20/2025,204.81,204.8,208.5,204,3.83M,0.00%
02/19/2025,204.8,206.55,207.5,203.45,1.32M,-0.46%
02/18/2025,205.74,200.9,206.27,199,2.12M,3.16%
02/17/2025,199.44,202.85,202.85,199,939.28K,-1.20%
02/14/2025,201.86,206.44,208,201,1.33M,-2.21%
02/13/2025,206.43,209.1,212.6,205.85,2.87M,-1.28%
02/12/2025,209.1,208.19,210.37,206.01,2.90M,0.44%
02/11/2025,208.19,202.19,210.11,201.52,7.36M,3.59%
02/10/2025,200.97,198.5,202.89,196.4,2.12M,1.24%
02/07/2025,198.51,196.5,199.99,195.52,2.35M,1.57%
02/06/2025,195.44,200.01,200.7,192.15,6.28M,-2.22%
02/04/2025,199.88,203,204.3,198.5,2.90M,-1.39%
02/03/2025,202.69,209,209,202.05,1.83M,-1.85%
01/31/2025,206.51,207,210.9,205.65,3.99M,-0.17%
01/30/2025,206.87,204,208,203,4.30M,1.79%
01/29/2025,203.24,204,205.97,201.1,3.82M,-0.18%
01/28/2025,203.6,208.5,208.5,201.23,5.22M,-2.63%
01/27/2025,209.11,213,213.55,208.9,2.90M,-1.56%
01/24/2025,212.43,214.75,216.5,211.8,2.14M,-0.69%
01/23/2025,213.91,214,218,212.5,3.08M,-0.04%
01/22/2025,213.99,218,219,213,3.25M,-1.94%
01/21/2025,218.23,222.1,225.25,217.01,3.40M,-1.94%
01/20/2025,222.54,223,225.85,222.01,3.84M,0.28%
01/17/2025,221.91,218,223.3,216.75,4.63M,1.44%
01/16/2025,218.75,222.49,222.5,218.01,2.70M,-1.36%
01/15/2025,221.77,222.99,226.23,219.4,5.71M,-0.17%
01/14/2025,222.15,225.88,225.88,221,3.37M,-1.23%
01/13/2025,224.91,227.2,228.75,222.2,7.65M,-0.02%
01/10/2025,224.96,212.4,230,209.09,10.28M,5.60%
01/09/2025,213.03,213.5,216.9,208.11,5.56M,0.04%
01/08/2025,212.95,220,223,211.5,4.03M,-2.49%
01/07/2025,218.38,213.56,219.49,205.8,6.98M,2.26%
01/06/2025,213.56,223.99,224.89,210.1,6.18M,-3.84%
01/03/2025,222.08,224.25,224.25,218.01,3.51M,-1.07%
01/02/2025,224.49,229.15,231.25,222.1,5.67M,-1.75%
01/01/2025,228.5,225.6,230,223.01,5.27M,0.88%
